gene_id	n_tissues_used	corr_domFrac_vs_logExpr	corr_entropy_vs_logExpr	median_gene_tpm	dominant_isoform_switch_range	isoform_entropy_range	n_isoforms
ENSG00000008282	54	0.11805515251871944	-0.07743451437402583	55.969999999999985	0.30139608196352174	0.8867723827559191	5
ENSG00000008283	52	-0.6466673169611178	0.7200890194513759	13.524999999999999	0.20526178692367802	0.719809816811576	18
ENSG00000008294	54	-0.6289652751957814	0.6217115117209511	15.704999999999998	0.48756692747505515	0.822472417604656	11
ENSG00000008300	9			2.8999999999999995	0.0	0.0	1
ENSG00000008311	51	-0.5206078888851718	0.7490650626579209	7.180000000000001	0.3155294717794717	0.4752617293217358	6
ENSG00000008323	19	0.5940995113794455	0.642505766070709	8.03	0.18274785850463954	0.564578620058743	9
ENSG00000008324	54	-0.07016112042669401	0.08320118780603394	18.972499499999998	0.06035981903412935	0.1768310662849284	2
ENSG00000008382	54	0.04267311436606742	0.012194270111381737	12.639999999999999	0.23125479205426724	0.4388148085267243	8
ENSG00000008394	54	-0.5869867069860933	0.6999266843385593	64.32250149999999	0.20322837971000896	0.8202327695554323	16
ENSG00000008405	53	-0.05930942731590259	0.09891319924287707	7.455	0.1857419523447258	0.35321016995078974	3
ENSG00000008441	53	-0.24275618118965325	0.6272658998417102	42.75999999999999	0.3692694899742075	0.8796830237076119	15
ENSG00000008513	46	-0.01535263751785429	0.26083167417175457	5.01	0.5534591427026894	1.4305659620006528	13
ENSG00000008516	8	-0.708339476056048	0.708339476056048	2.215	0.00021734405564011183	0.0020504064911200646	2
ENSG00000008517	54	-0.8061069487276735	0.8736503163642988	14.340000055	0.35725943027221874	1.6109930819586133	30
ENSG00000008710	53	-0.15312452431825813	0.2621418353211693	22.819999999999997	0.18510334752969432	0.49267722683894766	19
ENSG00000008735	32			7.03	0.0	0.0	1
ENSG00000008838	54	-0.10379242678921922	0.7418249023997903	36.774999949999994	0.19095005002601423	0.4454902560670555	23
ENSG00000008853	52	-0.07001531158296201	0.18634184542633064	8.030000000000001	0.28399903802385773	0.5472337454350933	6
ENSG00000008869	54	-0.16382502000256674	0.16346008171787912	6.602500149999999	0.021321961620468954	0.1031403007527868	2
ENSG00000008952	54	-0.20567014501011177	0.1742692948263536	45.96249949	0.24630680910402503	0.3592828480521497	7
ENSG00000008988	54	0.3198633525993112	-0.31449333921330647	1321.7875000499998	0.1244145259376006	0.4805519338341346	10
ENSG00000009307	54	-0.08171491895299127	0.10419278802007434	137.08750009000002	0.47902539555063595	0.7885048222113538	15
ENSG00000009335	54	-0.22667453537483642	0.226649189011302	15.317500000000003	0.002629848783694877	0.01824986943368346	3
ENSG00000009413	53	-0.3580528128435318	0.4380020452434005	7.535000000000001	0.3342716387533732	1.0462956803466528	7
ENSG00000009694	15	-0.8219254532013642	0.8619562565823967	2.04	0.4089887640449439	0.6764883776460721	3
ENSG00000009724	39	-0.8712711351209318	0.8712711351209318	2.125	0.14998047855429752	0.42267522438973837	2
ENSG00000009780	53	-0.43099069071840784	0.4550497569109174	6.049999999999999	0.666733557254972	1.3163202320508391	7
ENSG00000009790	27	-0.20456852963468586	0.3615585496425766	1.9199999700000003	0.26558837318330986	0.6667446244067843	13
ENSG00000009830	53	-0.34834197429077285	0.5537540959825445	5.29	0.46299322650024216	1.2500327645832827	14
ENSG00000009844	54	0.26198023455386127	-0.23916413173728218	14.869999840000002	0.19061545239393352	0.25571067029074446	5
ENSG00000009950	45	0.1819694781646618	0.6536775617619175	6.779999990000002	0.17676142639647618	0.27302294443251385	8
ENSG00000009954	54	-0.6117364661289045	0.6229251558950122	16.39	0.15465624746943074	0.17060538652784052	2
ENSG00000010017	54	-0.14995410553330699	0.09533198198783803	21.4425	0.22490911362549015	0.3978997134689033	2
ENSG00000010030	15	-0.47677867137671814	0.6381307858657099	2.5300000000000002	0.3410292227774365	0.739915056035197	8
ENSG00000010072	52	0.0639218595191147	0.21213376104493595	2.8475	0.24298128815321252	0.6069086228749307	6
ENSG00000010165	54	0.2582496421655868	-0.25201398277757653	11.317499900000001	0.31617056456982173	0.44541136489229727	7
ENSG00000010219	50	-0.22741229626770929	0.7110417818017911	2.0525	0.32948479925736834	0.9980292424769446	9
ENSG00000010244	54	-0.6391367551486025	0.7315161068678582	57.370000000000005	0.3161752489526614	0.6123600755613774	12
ENSG00000010256	54	-0.02185086836824011	-0.020631896707502054	78.40500100000003	0.0961247948050063	0.2295980880423215	4
ENSG00000010270	54	-0.29223474225223767	0.298318344937002	20.729999999999997	0.44614660227901815	0.7530244611485315	6
ENSG00000010278	54	0.004394666553267491	-0.0009614706132990235	163.14499999999998	0.11661558376956482	0.39067582541139356	9
ENSG00000010282	19	-0.15942661687177911	0.5992272680868108	25.03	0.43965517241379315	1.0199300301900251	8
ENSG00000010292	54	-0.1868345045083567	0.39641918712533797	9.02	0.19410227604087793	0.37042839647484893	12
ENSG00000010295	53	0.29214262845856426	-0.24385392386218663	5.13	0.45978521925757465	0.7483646878996574	6
ENSG00000010310	27	-0.6156351168545023	0.6471969129479181	3.4450002	0.30254939985811335	0.5550006278093649	6
ENSG00000010318	53	-0.12296790949118132	0.31080545138978444	3.14999991	0.4330765131228329	0.8999492747107377	7
ENSG00000010319	49	-0.10718891186271487	0.08449166063795112	5.36500004	0.12949802417114764	0.30973029067717883	3
ENSG00000010322	54	0.05464037558581211	0.08681267624686802	55.32499999999999	0.2672124568875134	0.45920914820119796	8
ENSG00000010327	52	-0.5692211877268876	0.5684926635695735	33.8725005	0.18779328779328774	0.19444032539967726	2
ENSG00000010361	54	-0.0446601488576583	0.40101114196171267	13.41	0.30281990845118534	0.7898296812046515	16
ENSG00000010379	20	0.1400597820687582	0.25165448631429127	4.529999999999999	0.4614438633437448	0.8882082765542596	8
ENSG00000010404	54	0.7081104138163645	-0.7283129039537682	46.25	0.48671086982847883	1.2764377613143296	8
ENSG00000010438	26	0.4508947025329113	-0.4710219228974437	14.6075	0.5666312860419878	1.2384697133164382	7
